cid,Customers,Cohort,0-6 days,7-13 days,14-20 days,21-27 days,28-34 days,35-41 days,42-48 days,49-55 days,56-62 days,63-69 days,70-76 days,77-83 days,84-90 days,91-97 days,98-104 days,105-111 days,112-118 days,119-125 days,126-132 days,133-139 days,140-146 days,147-153 days,154-160 days,161-167 days,168-174 days,175-181 days,182-188 days
0.0,308,2015-01-01 ~ 2015-01-07,36 orders (1st time : 36),14 orders (1st time : 6),14 orders (1st time : 4),11 orders (1st time : 1),16 orders (1st time : 3),6 orders (1st time : 0),7 orders (1st time : 1),8 orders (1st time : 0),7 orders (1st time : 1),4 orders (1st time : 0),6 orders (1st time : 0),7 orders (1st time : 2),6 orders (1st time : 0),5 orders (1st time : 1),6 orders (1st time : 1),8 orders (1st time : 0),4 orders (1st time : 0),7 orders (1st time : 0),8 orders (1st time : 1),4 orders (1st time : 1),4 orders (1st time : 0),7 orders (1st time : 0),3 orders (1st time : 0),6 orders (1st time : 0),8 orders (1st time : 1),6 orders (1st time : 0),2 orders (1st time : 0)
1.0,2210,2015-01-08 ~ 2015-01-14,224 orders (1st time : 224),149 orders (1st time : 94),102 orders (1st time : 39),105 orders (1st time : 24),91 orders (1st time : 23),88 orders (1st time : 15),91 orders (1st time : 20),96 orders (1st time : 17),92 orders (1st time : 21),83 orders (1st time : 15),56 orders (1st time : 3),68 orders (1st time : 7),70 orders (1st time : 5),65 orders (1st time : 7),75 orders (1st time : 7),80 orders (1st time : 14),63 orders (1st time : 5),68 orders (1st time : 7),60 orders (1st time : 5),64 orders (1st time : 2),50 orders (1st time : 4),53 orders (1st time : 7),68 orders (1st time : 4),65 orders (1st time : 5),47 orders (1st time : 3),26 orders (1st time : 5),
2.0,790,2015-01-15 ~ 2015-01-21,137 orders (1st time : 137),59 orders (1st time : 28),43 orders (1st time : 15),26 orders (1st time : 6),38 orders (1st time : 9),39 orders (1st time : 8),48 orders (1st time : 7),38 orders (1st time : 4),45 orders (1st time : 8),30 orders (1st time : 1),35 orders (1st time : 3),31 orders (1st time : 0),37 orders (1st time : 4),35 orders (1st time : 3),36 orders (1st time : 1),39 orders (1st time : 1),27 orders (1st time : 4),37 orders (1st time : 1),33 orders (1st time : 4),36 orders (1st time : 1),33 orders (1st time : 2),43 orders (1st time : 5),25 orders (1st time : 2),33 orders (1st time : 1),18 orders (1st time : 1),,
3.0,1349,2015-01-22 ~ 2015-01-28,236 orders (1st time : 236),104 orders (1st time : 59),72 orders (1st time : 24),66 orders (1st time : 20),73 orders (1st time : 18),79 orders (1st time : 22),64 orders (1st time : 15),69 orders (1st time : 11),60 orders (1st time : 9),55 orders (1st time : 5),59 orders (1st time : 5),59 orders (1st time : 11),55 orders (1st time : 9),60 orders (1st time : 13),43 orders (1st time : 8),45 orders (1st time : 3),57 orders (1st time : 8),41 orders (1st time : 3),48 orders (1st time : 3),53 orders (1st time : 5),48 orders (1st time : 3),33 orders (1st time : 1),40 orders (1st time : 3),17 orders (1st time : 1),,,
4.0,549,2015-01-29 ~ 2015-02-04,116 orders (1st time : 116),41 orders (1st time : 15),36 orders (1st time : 13),30 orders (1st time : 8),35 orders (1st time : 8),27 orders (1st time : 9),37 orders (1st time : 7),27 orders (1st time : 4),27 orders (1st time : 0),25 orders (1st time : 1),28 orders (1st time : 3),28 orders (1st time : 2),32 orders (1st time : 0),26 orders (1st time : 2),23 orders (1st time : 1),26 orders (1st time : 3),31 orders (1st time : 3),24 orders (1st time : 1),25 orders (1st time : 2),26 orders (1st time : 1),28 orders (1st time : 0),25 orders (1st time : 1),14 orders (1st time : 0),,,,
5.0,475,2015-02-05 ~ 2015-02-11,85 orders (1st time : 85),31 orders (1st time : 14),28 orders (1st time : 6),23 orders (1st time : 4),21 orders (1st time : 2),24 orders (1st time : 3),18 orders (1st time : 3),18 orders (1st time : 1),21 orders (1st time : 2),20 orders (1st time : 2),19 orders (1st time : 1),20 orders (1st time : 2),23 orders (1st time : 6),18 orders (1st time : 1),23 orders (1st time : 1),15 orders (1st time : 0),17 orders (1st time : 1),16 orders (1st time : 1),20 orders (1st time : 2),15 orders (1st time : 0),16 orders (1st time : 1),10 orders (1st time : 1),,,,,
6.0,451,2015-02-12 ~ 2015-02-18,67 orders (1st time : 67),28 orders (1st time : 11),27 orders (1st time : 12),27 orders (1st time : 5),19 orders (1st time : 4),10 orders (1st time : 0),17 orders (1st time : 3),18 orders (1st time : 3),12 orders (1st time : 1),18 orders (1st time : 1),18 orders (1st time : 2),12 orders (1st time : 0),16 orders (1st time : 2),12 orders (1st time : 2),13 orders (1st time : 0),20 orders (1st time : 1),17 orders (1st time : 3),10 orders (1st time : 0),18 orders (1st time : 2),18 orders (1st time : 2),4 orders (1st time : 0),,,,,,
7.0,417,2015-02-19 ~ 2015-02-25,85 orders (1st time : 85),28 orders (1st time : 11),29 orders (1st time : 5),24 orders (1st time : 2),24 orders (1st time : 5),25 orders (1st time : 5),20 orders (1st time : 1),21 orders (1st time : 2),17 orders (1st time : 0),22 orders (1st time : 1),14 orders (1st time : 2),24 orders (1st time : 0),20 orders (1st time : 0),17 orders (1st time : 1),20 orders (1st time : 0),18 orders (1st time : 0),20 orders (1st time : 1),21 orders (1st time : 0),16 orders (1st time : 0),9 orders (1st time : 1),,,,,,,
8.0,2129,2015-02-26 ~ 2015-03-04,219 orders (1st time : 219),87 orders (1st time : 31),72 orders (1st time : 22),57 orders (1st time : 13),71 orders (1st time : 15),53 orders (1st time : 7),60 orders (1st time : 9),56 orders (1st time : 5),58 orders (1st time : 8),61 orders (1st time : 12),47 orders (1st time : 6),54 orders (1st time : 5),38 orders (1st time : 3),52 orders (1st time : 2),37 orders (1st time : 3),48 orders (1st time : 4),50 orders (1st time : 10),51 orders (1st time : 5),13 orders (1st time : 2),,,,,,,,
9.0,1445,2015-03-05 ~ 2015-03-11,163 orders (1st time : 163),64 orders (1st time : 20),50 orders (1st time : 19),39 orders (1st time : 7),46 orders (1st time : 8),33 orders (1st time : 2),37 orders (1st time : 5),41 orders (1st time : 4),47 orders (1st time : 4),36 orders (1st time : 3),34 orders (1st time : 2),32 orders (1st time : 3),39 orders (1st time : 2),32 orders (1st time : 1),38 orders (1st time : 5),34 orders (1st time : 2),36 orders (1st time : 1),9 orders (1st time : 0),,,,,,,,,
10.0,1182,2015-03-12 ~ 2015-03-18,81 orders (1st time : 81),41 orders (1st time : 20),31 orders (1st time : 8),34 orders (1st time : 9),30 orders (1st time : 6),29 orders (1st time : 7),30 orders (1st time : 6),28 orders (1st time : 5),19 orders (1st time : 4),25 orders (1st time : 3),27 orders (1st time : 4),17 orders (1st time : 2),22 orders (1st time : 2),25 orders (1st time : 6),21 orders (1st time : 3),24 orders (1st time : 1),8 orders (1st time : 0),,,,,,,,,,
11.0,987,2015-03-19 ~ 2015-03-25,85 orders (1st time : 85),31 orders (1st time : 15),24 orders (1st time : 5),24 orders (1st time : 5),27 orders (1st time : 7),25 orders (1st time : 3),25 orders (1st time : 3),20 orders (1st time : 5),21 orders (1st time : 2),25 orders (1st time : 1),20 orders (1st time : 4),22 orders (1st time : 1),30 orders (1st time : 1),23 orders (1st time : 1),17 orders (1st time : 2),12 orders (1st time : 0),,,,,,,,,,,
12.0,1008,2015-03-26 ~ 2015-04-01,74 orders (1st time : 74),25 orders (1st time : 12),39 orders (1st time : 14),27 orders (1st time : 6),30 orders (1st time : 9),23 orders (1st time : 3),25 orders (1st time : 5),29 orders (1st time : 7),19 orders (1st time : 2),21 orders (1st time : 1),32 orders (1st time : 2),33 orders (1st time : 6),23 orders (1st time : 2),30 orders (1st time : 2),10 orders (1st time : 2),,,,,,,,,,,,
13.0,1094,2015-04-02 ~ 2015-04-08,93 orders (1st time : 93),29 orders (1st time : 11),33 orders (1st time : 8),30 orders (1st time : 9),32 orders (1st time : 4),25 orders (1st time : 1),22 orders (1st time : 2),26 orders (1st time : 1),24 orders (1st time : 3),28 orders (1st time : 0),30 orders (1st time : 3),16 orders (1st time : 0),20 orders (1st time : 1),13 orders (1st time : 2),,,,,,,,,,,,,
14.0,877,2015-04-09 ~ 2015-04-15,87 orders (1st time : 87),38 orders (1st time : 16),34 orders (1st time : 7),26 orders (1st time : 8),28 orders (1st time : 2),24 orders (1st time : 2),24 orders (1st time : 2),16 orders (1st time : 0),26 orders (1st time : 1),25 orders (1st time : 4),27 orders (1st time : 2),22 orders (1st time : 2),10 orders (1st time : 2),,,,,,,,,,,,,,
15.0,896,2015-04-16 ~ 2015-04-22,78 orders (1st time : 78),32 orders (1st time : 14),28 orders (1st time : 3),26 orders (1st time : 7),27 orders (1st time : 4),17 orders (1st time : 1),23 orders (1st time : 4),13 orders (1st time : 0),28 orders (1st time : 5),27 orders (1st time : 3),22 orders (1st time : 5),13 orders (1st time : 1),,,,,,,,,,,,,,,
16.0,969,2015-04-23 ~ 2015-04-29,150 orders (1st time : 150),47 orders (1st time : 11),34 orders (1st time : 8),30 orders (1st time : 9),35 orders (1st time : 5),35 orders (1st time : 8),33 orders (1st time : 4),26 orders (1st time : 5),32 orders (1st time : 6),34 orders (1st time : 4),18 orders (1st time : 4),,,,,,,,,,,,,,,,
17.0,706,2015-04-30 ~ 2015-05-06,115 orders (1st time : 115),35 orders (1st time : 13),32 orders (1st time : 6),33 orders (1st time : 8),29 orders (1st time : 3),25 orders (1st time : 4),29 orders (1st time : 4),28 orders (1st time : 4),26 orders (1st time : 4),10 orders (1st time : 1),,,,,,,,,,,,,,,,,
18.0,721,2015-05-07 ~ 2015-05-13,102 orders (1st time : 102),39 orders (1st time : 17),27 orders (1st time : 4),35 orders (1st time : 10),30 orders (1st time : 3),31 orders (1st time : 7),35 orders (1st time : 7),25 orders (1st time : 4),7 orders (1st time : 0),,,,,,,,,,,,,,,,,,
19.0,630,2015-05-14 ~ 2015-05-20,99 orders (1st time : 99),27 orders (1st time : 12),33 orders (1st time : 9),25 orders (1st time : 6),28 orders (1st time : 8),31 orders (1st time : 8),21 orders (1st time : 4),15 orders (1st time : 2),,,,,,,,,,,,,,,,,,,
20.0,917,2015-05-21 ~ 2015-05-27,140 orders (1st time : 140),52 orders (1st time : 22),47 orders (1st time : 11),36 orders (1st time : 9),48 orders (1st time : 6),38 orders (1st time : 3),22 orders (1st time : 1),,,,,,,,,,,,,,,,,,,,
21.0,972,2015-05-28 ~ 2015-06-03,148 orders (1st time : 148),48 orders (1st time : 12),48 orders (1st time : 18),41 orders (1st time : 11),39 orders (1st time : 5),11 orders (1st time : 3),,,,,,,,,,,,,,,,,,,,,
22.0,858,2015-06-04 ~ 2015-06-10,121 orders (1st time : 121),39 orders (1st time : 19),37 orders (1st time : 8),29 orders (1st time : 9),20 orders (1st time : 7),,,,,,,,,,,,,,,,,,,,,,
23.0,1066,2015-06-11 ~ 2015-06-17,177 orders (1st time : 177),51 orders (1st time : 18),46 orders (1st time : 11),18 orders (1st time : 3),,,,,,,,,,,,,,,,,,,,,,,
24.0,946,2015-06-18 ~ 2015-06-24,168 orders (1st time : 168),44 orders (1st time : 16),15 orders (1st time : 3),,,,,,,,,,,,,,,,,,,,,,,,
25.0,781,2015-06-25 ~ 2015-07-01,123 orders (1st time : 123),23 orders (1st time : 12),,,,,,,,,,,,,,,,,,,,,,,,,
26.0,983,2015-07-02 ~ 2015-07-07,136 orders (1st time : 136),,,,,,,,,,,,,,,,,,,,,,,,,,
